geno;pheno;nSamples;nCases;nControls;p;beta;lower;upper;se;MedCases;MedControls;Panel
TET2_VE_mis_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;204;35676;2,00E-49;-0,979073758;-1,108720166;-0,849427349;0,0661451;-0,765655362;0,015754273;Inflammation
TET2_VE_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;149;35731;1,77E-40;-1,031741542;-1,183371818;-0,880111266;0,077361184;-0,75662905;0,014669317;Inflammation
TET2_VE_mis_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;366;35514;1,91E-40;-0,662738158;-0,760180276;-0,56529604;0,049714594;-0,413615083;0,016202412;Inflammation
TET2_VE_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;255;35625;3,11E-39;-0,78061389;-0,897229923;-0,663997856;0,059497052;-0,446208044;0,015659929;Inflammation
TET2_VE_mis;FLT3LG:P49771:OID20661:v1:Inflammation;35880;410;35470;7,68E-37;-0,59648486;-0,688586372;-0,504383348;0,046989838;-0,377163762;0,016037308;Inflammation
TET2_VE;FLT3LG:P49771:OID20661:v1:Inflammation;35880;280;35600;2,06E-35;-0,705966896;-0,817263558;-0,594670233;0,05678313;-0,410626396;0,015494826;Inflammation
TET2_VE_mis_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;71;35809;1,33E-32;-1,332190562;-1,551572955;-1,112808169;0,111928054;-1,229762422;0,01363155;Inflammation
TET2_VE_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;59;35821;4,55E-28;-1,34998401;-1,59067206;-1,109295961;0,122798118;-1,229762422;0,013277769;Inflammation
CH_VE_mis_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;774;35106;1,28E-26;-0,368469331;-0,436046314;-0,300892347;0,034477517;-0,142189522;0,015117449;Inflammation
TET2_VE_mis_VAF20;CD1C:P29017:OID21483:v1:Oncology;35644;72;35572;3,52E-23;1,110593932;0,891239045;1,32994882;0,111913996;0,873135394;-0,016319419;Oncology
CH_VE_mis_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;280;35600;3,76E-23;-0,562607862;-0,673802603;-0,45141312;0,05673113;-0,310591118;0,013985332;Inflammation
TET2_VE_mis_VAF10;CD1C:P29017:OID21483:v1:Oncology;35644;201;35443;1,14E-21;0,642784679;0,511125757;0,774443602;0,067171861;0,486336534;-0,016770799;Oncology
CH_VE_mis_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;1466;34414;2,40E-21;-0,240971168;-0,290730398;-0,191211938;0,025386968;-0,036019434;0,014386288;Inflammation
TET2_VE_VAF20;CD1C:P29017:OID21483:v1:Oncology;35644;59;35585;2,45E-21;1,173122917;0,930828504;1,415417331;0,123617651;0,943260185;-0,016010583;Oncology
CH_VE_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;164;35716;1,10E-20;-0,689217387;-0,833986563;-0,544448211;0,073860677;-0,387615787;0,01363155;Inflammation
TET2_VE_VAF10;CD1C:P29017:OID21483:v1:Oncology;35644;146;35498;2,39E-20;0,728260888;0,573929854;0,882591922;0,078739083;0,565320621;-0,016770799;Oncology
CH_VE_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;471;35409;2,85E-20;-0,405643082;-0,491783813;-0,319502352;0,04394867;-0,137283702;0,013820234;Inflammation
